Sl_No,Circle_Name,Crash_Prone_Zones,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Samay Pur Badli Circle,10,41,52,93
2,Punjabi Bagh Circle,7,44,29,73
3,Badarpur Circle,4,15,18,33
4,Madhu Vihar Circle,4,19,17,36
5,Lajpat Nagar Circle,4,26,15,41
6,Dwarka Circle,4,38,7,45
7,Kotwali Circle,4,32,11,43
8,Rajouri Garden Circle,4,17,13,30
9,Gokul Puri Circle,4,30,12,42
10,Subhash Place Circle,4,21,19,40
11,Timarpur Circle,4,44,17,61
12,Jahangir Puri Circle,4,33,18,51
13,Vasant Kunj Circle,3,18,12,30
14,Nangloi Circle,3,20,8,28
15,Swaroop Nagar Circle,3,31,14,45
16,Kamla Market Circle,3,22,10,32
17,Model Town Circle,3,19,9,28
18,Seelampur Circle,3,37,8,45
19,Shalimar Bagh Circle,3,33,9,42
20,Sarita Vihar Circle,3,22,7,29
21,Hauz Khas Circle,3,18,11,29
22,Kalkaji Circle,2,14,4,18
23,Mangol Puri Circle,2,5,7,12
24,Kalyan Puri Circle,2,13,4,17
25,Darya Ganj Circle,2,12,8,20
26,Maya Puri Circle,2,9,12,21
27,Vasant Vihar Circle,2,15,4,19
28,Delhi Cantt Circle,2,14,11,25
29,Tilak Nagar Circle,2,11,4,15
30,Parliament Street Circle,2,12,6,18
31,Gandhi Nagar Circle,1,2,3,5
32,Civil lines Circle,1,6,5,11
33,Chitranjan Park Circle,1,10,1,11
34,Chanakya Puri Circle,1,1,3,4
35,Bawana Circle,1,3,3,6
36,Khajuri Khas Circle,1,10,2,12
37,Nand Nagri Circle,1,10,2,12
38,New Friends Colony Circle,1,9,1,10
39,Paschim Vihar Circle,1,9,7,16
40,Preet Vihar Circle,1,7,3,10
41,Rohini Circle,1,2,4,6
42,Safdarjung Enclave Circle,1,1,3,4
43,Seemapuri Circle,1,6,5,11
44,Shahdara Circle,1,4,3,7
45,Mayur Vihar Circle,1,17,6,23
