Rank,Road_Name,Simple_Day,Simple_Night,Fatal_Day,Fatal_Night,Total_Day,Total_Night
1,OUTER RING ROAD,42,41,16,28,58,69
2,RING ROAD,64,25,12,19,76,44
3,ROHTAK ROAD,30,14,2,12,32,26
5,GTK ROAD,10,12,5,7,15,19
6,WAZIRABAD ROAD,11,6,3,6,14,12
7,NAJAF GARH ROAD,18,17,1,7,19,24
9,MEHRAULI BADARPUR ROAD,15,9,2,4,17,13
11,MATHURA ROAD,14,5,1,4,15,9
12,ANAND MAI MARG,3,3,1,4,4,7
13,GRAND TRUNK ROAD,16,5,0,4,16,9
14,BAWANA ROAD,6,2,2,2,8,4
16,BUWASAN ROAD,3,4,4,0,7,4
17,KANJHAWALA ROAD,8,6,1,2,9,8
18,PATEL ROAD,4,6,1,2,5,8
19,PUSTA ROAD,6,4,1,2,7,6
20,ROAD NO,41,4,4,2,1,6
21,VIKAS MARG,6,2,1,2,7,4
22,STATION ROAD,4,3,1,2,5,5
23,LAL BHADUR S. MARG,3,4,1,2,4,6
25,NOIDA DND ROAD,3,1,2,1,5,2
