Sl_No,Black_Spot,Simple_2019,Simple_2020,Fatal_2019,Fatal_2020,Total_2019,Total_2020,Injured_2019,Injured_2020,Killed_2019,Killed_2020
1,MUKUND PUR CHOWK,12,7,11,6,23,13,14,7,11,6
2,PUR RED LIGHT,3,6,9,5,12,11,5,7,9,5
3,MUKARBA CHOWK,11,6,8,8,19,14,16,7,8,8
4,AZADPUR SABZI MANDI,10,6,8,5,18,11,10,7,8,5
5,TIMARPUR,5,4,8,1,13,5,13,6,8,1
6,MAJNU KA TILA,13,5,7,7,20,12,18,10,7,7
7,WAZIRABAD,10,8,7,4,17,12,15,10,7,4
8,AZAD PUR CHOWK,6,14,7,9,13,23,9,22,7,9
10,WAZIR PUR DEPOT,6,6,6,4,12,10,8,6,6,4
