Sl_No,Crash_Prone_Zone,Simple_Crashes,Fatal_Crashes,Total_Crashes
1,Bhalswa Chowk,10,6,16
2,Mukarba Chowk,6,5,11
3,Dhaula Kuan,3,5,8
4,Okhla More,0,5,5
5,Akshardham Mandir,11,4,15
6,Peera Garhi Chowk,7,4,11
7,Loni Road Crossing,6,4,10
8,Khampur Village,6,4,10
9,GB Pant Hospital,3,4,7
10,Mukund Pur Chowk,8,3,11
11,ITO/I P Flyover,7,3,10
12,Wazirabad,6,3,9
13,Britannia Chowk,4,3,7
14,Kakrola Dwarka More,4,3,7
15,Rama Road Crossing,4,3,7
16,IP DTC Depot,3,3,6
17,Metro Station Dilshad Garden,3,3,6
18,Monestry Ring Road,3,3,6
19,Gokalpuri,3,3,6
20,Shakar Pur Chungi,2,3,5
21,SGT Nagar,2,3,5
22,DC Office,2,3,5
23,Round About Okhla Estate,1,3,4
24,Under Pass Gajipur,0,3,3
25,Shastri Park/IT Park,15,2,17
26,Gandhi Vihar Bus Stand,11,2,13
27,Delhi Gate,8,2,10
28,Azadpur Bus Terminal,8,2,10
29,Jahangir Puri Metro Station,12,1,13
30,Shanti Van,9,1,10
