Sl_No,Road_Name,Crash_Prone_Zones,Simple_Accidents,Fatal_Accidents,Total_Accidents
1,RING ROAD,19,150,66,216
2,OUTER RING ROAD,17,107,81,188
3,GTK ROAD,6,37,34,71
4,WAZIRABAD ROAD,5,35,12,47
5,ROHTAK ROAD,4,31,12,43
6,G. T. ROAD,3,25,9,34
8,PUSTA ROAD,2,11,5,16
9,GIRDHARI LAL MARG,2,2,9,11
12,BKS MARG,1,7,3,10
13,BOULEVARD ROAD,1,9,3,12
14,CAPTAIN GAUD MARG,1,5,3,8
15,FAIZROAD,1,2,4,6
16,LALA LAJPAT RAI MARG,1,10,3,13
17,ANAND MAI MARG,1,1,3,4
18,N. SUBHASH MARG,1,3,4,7
19,PATEL ROAD,1,11,4,15
